Word,Phonetic,Type,Meaning,Example,Audio,TopicID,LanguageID,Difficulty
经理,jīnglǐ,noun,manager,经理职责,manager.mp3,3,3,Hard
主管,zhǔguǎn,noun,supervisor,主管责任,supervisor.mp3,3,3,Hard
助理,zhùlǐ,noun,assistant,助理工作,assistant.mp3,3,3,Hard
秘书,mìshū,noun,secretary,秘书工作,secretary.mp3,3,3,Hard
专家,zhuānjiā,noun,expert,专家意见,expert.mp3,3,3,Hard
顾问,gùwèn,noun,consultant,顾问服务,consultant.mp3,3,3,Hard
工程师,gōngchéngshī,noun,engineer,工程师工作,engineer.mp3,3,3,Hard
设计师,shèjìshī,noun,designer,设计师工作,designer.mp3,3,3,Hard
程序员,chéngxùyuán,noun,programmer,程序员工作,programmer.mp3,3,3,Hard
分析师,fēnxīshī,noun,analyst,分析师工作,analyst.mp3,3,3,Hard
研究员,yánjiūyuán,noun,researcher,研究员工作,researcher.mp3,3,3,Hard
科学家,kēxuéjiā,noun,scientist,科学家工作,scientist.mp3,3,3,Hard
医生,yīshēng,noun,doctor,医生工作,doctor.mp3,3,3,Hard
护士,hùshi,noun,nurse,护士工作,nurse.mp3,3,3,Hard
律师,lǜshī,noun,lawyer,律师工作,lawyer.mp3,3,3,Hard
法官,fǎguān,noun,judge,法官工作,judge.mp3,3,3,Hard
警察,jǐngchá,noun,police,警察工作,police.mp3,3,3,Hard
消防员,xiāofángyuán,noun,firefighter,消防员工作,firefighter.mp3,3,3,Hard
教师,jiàoshī,noun,teacher,教师工作,teacher.mp3,3,3,Hard
教授,jiàoshòu,noun,professor,教授工作,professor.mp3,3,3,Hard
研究员,yánjiūyuán,noun,researcher,研究员工作,researcher.mp3,3,3,Hard
学生,xuéshēng,noun,student,学生学习,student.mp3,3,3,Hard
研究生,yánjiūshēng,noun,graduate student,研究生学习,graduate_student.mp3,3,3,Hard
博士生,bóshìshēng,noun,PhD student,博士生学习,PhD_student.mp3,3,3,Hard
留学生,liúxuéshēng,noun,international student,留学生学习,international_student.mp3,3,3,Hard
交换生,jiāohuànshēng,noun,exchange student,交换生学习,exchange_student.mp3,3,3,Hard
访问学者,fǎngwènxuézhě,noun,visiting scholar,访问学者研究,visiting_scholar.mp3,3,3,Hard
